Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,DX1PAR*,144.780000,-,0.600000,,100.0,100.0,023,NN,FM,5.00,S,,,,,
2,DX1ARM,144.280000,-,0.600000,,88.5,88.5,023,NN,FM,0.00,S,,,,,
3,DX2LA,144.900000,-,0.600000,,100.0,100.0,023,NN,FM,0.00,S,,,,,
4,DX3F-2m,144.940000,-,0.600000,,88.5,88.5,023,NN,FM,0.00,S,,,,,
5,DX3F-70,434.900000,-,0.600000,,88.5,88.5,023,NN,FM,0.00,S,,,,,
6,SO50-Arm,436.805000,off,5.000000,Tone,74.4,74.4,023,NN,FM,5.00,S,,,,,
7,SO50-A,436.805000,off,5.000000,Tone,67.0,67.0,023,NN,FM,5.00,S,,,,,
8,SO50-B,436.800000,off,5.000000,Tone,67.0,67.0,023,NN,FM,5.00,S,,,,,
9,SO50-C,436.795000,off,5.000000,Tone,67.0,67.0,023,NN,FM,5.00,S,,,,,
10,SO50-D,436.790000,off,5.000000,Tone,67.0,67.0,023,NN,FM,5.00,S,,,,,
11,SO50-E,436.785000,off,5.000000,Tone,67.0,67.0,023,NN,FM,5.00,S,,,,,
12,AO90-A,435.370000,off,5.000000,Tone,67.0,67.0,023,NN,FM,5.00,S,,,,,
13,AO90-B,435.365000,off,5.000000,Tone,67.0,67.0,023,NN,FM,5.00,S,,,,,
14,AO90-C,435.360000,off,5.000000,Tone,67.0,67.0,023,NN,FM,5.00,S,,,,,
15,AO90-D,435.355000,off,5.000000,Tone,67.0,67.0,023,NN,FM,5.00,S,,,,,
16,AO90-E,435.350000,off,5.000000,Tone,67.0,67.0,023,NN,FM,5.00,S,,,,,
17,AO51-Arm,436.805000,off,5.000000,Tone,97.4,97.4,023,NN,FM,5.00,S,,,,,
18,AO51-A,436.805000,off,5.000000,Tone,67.0,67.0,023,NN,FM,5.00,S,,,,,
19,AO51-B,436.800000,off,5.000000,Tone,67.0,67.0,023,NN,FM,5.00,S,,,,,
20,AO51-C,436.795000,off,5.000000,Tone,67.0,67.0,023,NN,FM,5.00,S,,,,,
21,AO51-D,436.790000,off,5.000000,Tone,67.0,67.0,023,NN,FM,5.00,S,,,,,
22,AO51-E,436.785000,off,5.000000,Tone,67.0,67.0,023,NN,FM,5.00,S,,,,,
23,AO91-A,437.235000,off,5.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
24,AO91-B,437.230000,off,5.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
25,AO91-C,437.225000,off,5.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
26,AO91-D,437.220000,off,5.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
27,AO91-E,437.215000,off,5.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
28,AO92-A,435.360000,off,5.000000,Tone,67.0,67.0,023,NN,FM,5.00,S,,,,,
29,AO92-B,435.355000,off,5.000000,Tone,67.0,67.0,023,NN,FM,5.00,S,,,,,
30,AO92-C,435.350000,off,5.000000,Tone,67.0,67.0,023,NN,FM,5.00,S,,,,,
31,AO92-D,435.345000,off,5.000000,Tone,67.0,67.0,023,NN,FM,5.00,S,,,,,
32,AO92-E,435.340000,off,5.000000,Tone,67.0,67.0,023,NN,FM,5.00,S,,,,,
33,Diwt2-A,437.510000,off,5.000000,Tone,67.0,67.0,023,NN,FM,5.00,S,,,,,
34,Diwt2-B,437.505000,off,5.000000,Tone,67.0,67.0,023,NN,FM,5.00,S,,,,,
35,Diwt2-C,437.500000,off,5.000000,Tone,67.0,67.0,023,NN,FM,5.00,S,,,,,
36,Diwt2-D,437.495000,off,5.000000,Tone,67.0,67.0,023,NN,FM,5.00,S,,,,,
37,Diwt2-E,437.490000,off,5.000000,Tone,67.0,67.0,023,NN,FM,5.00,S,,,,,
